A Coruña;Perrera de La Coruña;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd2e7d05d70c6393:0x580005d24ba3bcad?sa=X&ved=1t:8290&ictx=111;981 263 093;Lunes a Sábado de 9:00–19:00;https://www.coruna.gal/mascotas/es
Albacete;Emperrados;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd66117489ca0075:0x7c86ac751549757a?sa=X&ved=1t:8290&ictx=111;628 236 149;Lunes a Domingo de 9:00-14:00;http://www.emperrados.org/
Alicante;Albergue Animales Alicante;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd623586becb5585:0xc0355987bee2dab0?sa=X&ved=1t:8290&ictx=111;965 96 02 24;Lunes a Viernes de 10:00-14:00, 17:00-19:00  Sábado 10:00-14:00;https://www.protectoraanimalesalicante.org/
Almería;Centro Zoosanitario Municipal de Almería;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd7a9db0ac07f11f:0x7955e057350b683c?sa=X&ved=1t:8290&ictx=111;950268531;Lunes a Sábado: 08:30-13:30;https://petshelter.miwuki.com/p/OV2q7kj5
Asturias;Albergaria;https://maps.app.goo.gl/sCW8pmtcSbZHjNYS8;611005386;Lunes a Domingo 9:00-17:00;https://www.albergaria.es/adopciones/perros/
Ávila;Protectora de Animales Huellas - Ávila;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd40f3e286bb759d:0x2358b09b9d59c620?sa=X&ved=1t:8290&ictx=111;629 16 57 88;Lunes a Domingo 10:00-12:30;https://www.protectorahuellas.org/adopcion-de-perros/perros-en-adopcion
Badajoz;ADANA - Asociación de Defensa de los Animales Badajoz;https://maps.app.goo.gl/p98vS283J1WzMdLWA;639 911 792;Lunes a Domingo 10:00-19:00;https://www.adanabadajoz.com/perros-en-adopcion/
Baleares;SOS Animal Mallorca;https://www.google.com/maps/place//data=!4m2!3m1!1s0x129789676edf89d3:0x1bcd1c832dd1c2e7?sa=X&ved=1t:8290&ictx=111;670 02 29 63;Martes a Viernes 10:30-16:00  Sábados y Domingos 11:00-14:00;https://www.sos-animal-mallorca.org/es/perros-para-adoptar/
Barcelona;SaveaLife - Perros en Adopción;https://maps.app.goo.gl/eWFKFtbAsWwgyPCE6;931 82 53 35;Lunes a Sábado: 17:00 a 20:00;https://savealife.es/
Burgos;Perrera de Burgos;https://maps.app.goo.gl/4SdHnUQJKXLDRBGP6;protectoraburgos@hotmail.com;Lunes a Viernes de 10:00 h a 12:00h;http://semat.geoscopio.net/escaparate/listarproductos.cgi?idcategoria=5043
Cáceres;Refugio de animales San Jorge;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd15e09ea138f177:0x4f1818df0fb3c293?sa=X&ved=1t:8290&ictx=111;667287345;Lunes a Domingo 16:00-20:00;https://refugiosanjorge.blogspot.com/
Cádiz;Refugio Kimba;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd0c35f1e780dea9:0x1d55890d6c6fbbe?sa=X&ved=1t:8290&ictx=111;679 96 89 00;Lunes a Sábado de 10:00-14:00;https://refugiokimba.org/listing-category/perros/
Cantabria;Asproan Santander;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd49493335de3627:0x6e6c5b02b2d0684f?sa=X&ved=1t:8290&ictx=111;639 00 72 19;Sábado 11:00-18:00;https://asproansantander.es/
Castellón;Huellas Callejeras;;643 75 79 00;Lunes a Domingo de 9:30-21:30;https://www.huellascallejeras.com/adopta/perros-en-adopcion/
Ciudad Real;Protectora La Bienvenida;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd6bc36ddbb32c45:0x42cab34ff0fc6664?sa=X&ved=1t:8290&ictx=111;info.labienvenidacr@gmail.com;Lunes a Viernes de 17:00-19:00 // Sábado y Domingo de 11:30-13:00;http://protectoralabienvenida.es/
Córdoba;El Amigo Fiel;;informacion@amigofielcordoba.org;Lunes a Domingo 10:00-20:00;https://elamigofielcordoba.org/
Cuenca;CUENCANIMAL - Asociación Protectora de Animales;;contacto.cuencanimal@gmail.com;;https://cuencanimal.com/perros-en-adopcion/#adopcion
